title,0,1,2,3,4,5,6,7,8,9
Avengers: Endgame,60.0,12.0,8.0,34.0,3.0,0.98971057,0.9245937,0.9245937,0.92013526,0.912353
Joker,188.0,19.0,72.0,14.0,91.0,0.8798817,0.87724406,0.87248677,0.86972344,0.8678247
American Beauty,119.0,172.0,154.0,110.0,42.0,0.80721617,0.8004496,0.79953927,0.7980129,0.7966522
Django Unchained,225.0,219.0,156.0,228.0,83.0,0.83487105,0.8279339,0.8263362,0.8126385,0.8122318
Braveheart,4.0,230.0,173.0,68.0,222.0,0.9155128,0.8945162,0.89340526,0.8874335,0.8780138
The Dark Knight Rises,125.0,2.0,143.0,158.0,62.0,0.92386377,0.9128396,0.8995511,0.88540965,0.8838967
Avengers: Infinity War,54.0,87.0,174.0,34.0,35.0,0.98971057,0.88183385,0.8792891,0.8720358,0.86815435
The Shining,93.0,77.0,72.0,219.0,51.0,0.85742784,0.8360735,0.8327366,0.8304144,0.8284746
Oldboy,30.0,172.0,188.0,34.0,174.0,0.9353993,0.9203652,0.90410787,0.9026654,0.90055543
Spider-Man: Into the Spider-Verse,34.0,8.0,12.0,193.0,54.0,0.89526236,0.88107455,0.88107455,0.88044983,0.8727507
Aliens,34.0,60.0,195.0,15.0,174.0,0.8642404,0.86296785,0.84829235,0.8466797,0.83590835
Memento,105.0,49.0,62.0,123.0,142.0,0.8609356,0.85347533,0.8427944,0.84279424,0.8390843
Coco,103.0,193.0,97.0,181.0,63.0,0.8869366,0.8822167,0.86695313,0.8421215,0.84140855
Your Name.,28.0,172.0,68.0,51.0,62.0,0.8802172,0.8528512,0.85122,0.8510764,0.8470119
Hamilton,230.0,4.0,145.0,172.0,69.0,0.9368422,0.9199983,0.9120739,0.9026043,0.89642423
Amadeus,44.0,68.0,4.0,230.0,196.0,0.89929736,0.89642423,0.89585656,0.89433134,0.890797
WALL·E,28.0,63.0,193.0,140.0,34.0,0.86178815,0.8583915,0.8566073,0.8551427,0.84625936
3 Idiots,82.0,34.0,51.0,52.0,72.0,0.8187293,0.81749254,0.8144877,0.8137164,0.81214666
The Lives of Others,142.0,123.0,188.0,166.0,62.0,0.8957354,0.8925367,0.88464594,0.8799603,0.8729526
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,93.0,193.0,77.0,82.0,161.0,0.8127965,0.80010295,0.7992038,0.79802406,0.7933197
Capernaum,51.0,219.0,43.0,149.0,156.0,0.81795305,0.812704,0.80977637,0.80761606,0.806621
Das Boot,225.0,219.0,43.0,93.0,110.0,0.85302997,0.84618527,0.8409134,0.83498955,0.82880783
Sunset Blvd.,112.0,12.0,8.0,209.0,34.0,0.85308665,0.8404446,0.8404446,0.8336962,0.8315556
Paths of Glory,93.0,210.0,166.0,156.0,79.0,0.8954186,0.8633971,0.8608324,0.8605823,0.8572448
Witness for the Prosecution,79.0,154.0,198.0,166.0,42.0,0.881778,0.8772747,0.8772054,0.871037,0.8675558
High and Low,154.0,166.0,158.0,198.0,29.0,1.0031878,0.9008151,0.8942994,0.89192367,0.89092135
Top Gun: Maverick,62.0,172.0,30.0,174.0,38.0,0.8750853,0.8676889,0.8627371,0.857082,0.8524406
Good Will Hunting,219.0,43.0,188.0,50.0,224.0,0.8859612,0.8710061,0.8695702,0.8663762,0.8625126
The Sting,226.0,79.0,167.0,154.0,26.0,0.8864528,0.8857142,0.8815778,0.8788409,0.87511045
Inglourious Basterds,219.0,54.0,210.0,96.0,156.0,0.86526453,0.86492527,0.86491895,0.86392426,0.85755837
Requiem for a Dream,225.0,11.0,62.0,69.0,196.0,0.8274436,0.8195317,0.8147204,0.8146434,0.81302804
Heat,2.0,125.0,55.0,62.0,14.0,0.87021565,0.8693888,0.856573,0.8510694,0.85100013
Eternal Sunshine of the Spotless Mind,219.0,43.0,11.0,149.0,224.0,0.8517269,0.82977456,0.82289886,0.8212073,0.8127417
2001: A Space Odyssey,35.0,60.0,193.0,210.0,94.0,0.8839483,0.88183385,0.8713311,0.8553514,0.8390665
A Clockwork Orange,87.0,174.0,60.0,179.0,193.0,0.8214034,0.8089099,0.8012233,0.79669595,0.7914244
Scarface,154.0,82.0,26.0,79.0,4.0,0.8570072,0.85018957,0.8491048,0.8481671,0.8453362
Reservoir Dogs,19.0,157.0,49.0,218.0,105.0,0.7898462,0.7868721,0.78143865,0.7713136,0.7680673
Once Upon a Time in America,55.0,14.0,166.0,117.0,79.0,0.8678247,0.85450256,0.85301733,0.8520039,0.85018337
The Hunt,4.0,172.0,34.0,54.0,156.0,0.81073946,0.8101078,0.809522,0.8083645,0.8073662
Full Metal Jacket,77.0,210.0,110.0,43.0,219.0,0.8954186,0.8872999,0.8860885,0.8800269,0.87481225
Toy Story,103.0,193.0,97.0,63.0,203.0,0.95327383,0.8785189,0.8781466,0.8613763,0.8591858
Star Wars: Episode VI - Return of the Jedi,23.0,17.0,114.0,53.0,34.0,0.92284137,0.9108093,0.8975421,0.8567225,0.8533678
Lawrence of Arabia,8.0,12.0,4.0,3.0,68.0,0.90911263,0.90911263,0.8970374,0.88908494,0.886794
Up,193.0,203.0,181.0,103.0,94.0,0.9645139,0.9065841,0.89889914,0.88270533,0.8781466
Amélie,52.0,51.0,27.0,226.0,205.0,0.8236443,0.8228137,0.817936,0.8114846,0.8044013
Incendies,166.0,72.0,62.0,30.0,79.0,0.8761599,0.86561716,0.86528844,0.8577246,0.8501316
Metropolis,174.0,43.0,36.0,62.0,224.0,0.8397994,0.8394487,0.8328822,0.8315793,0.81810564
Princess Mononoke,63.0,34.0,193.0,114.0,54.0,0.83366054,0.83181876,0.8269628,0.81207633,0.8097262
Citizen Kane,209.0,72.0,62.0,79.0,36.0,0.84831464,0.84436816,0.8410517,0.83766353,0.8337631
Toy Story 3,94.0,193.0,66.0,97.0,181.0,0.95327383,0.89708984,0.8869366,0.88270533,0.87105757
Ikiru,29.0,8.0,12.0,151.0,158.0,0.8991817,0.86329746,0.86329746,0.8609265,0.8594099
Vertigo,49.0,149.0,62.0,123.0,65.0,0.9090533,0.8658674,0.8651226,0.86120284,0.8609356
The Apartment,51.0,27.0,226.0,52.0,138.0,0.8830308,0.87212956,0.86641675,0.8634286,0.8581796
To Kill a Mockingbird,154.0,2.0,79.0,42.0,178.0,0.8604333,0.85960174,0.85097456,0.8498694,0.846558
Singin' in the Rain,27.0,52.0,226.0,188.0,82.0,0.82382214,0.817045,0.8165476,0.8139865,0.8107377
North by Northwest,34.0,12.0,8.0,3.0,63.0,0.852631,0.8389891,0.8389891,0.8299752,0.8287752
Judgment at Nuremberg,219.0,225.0,93.0,43.0,210.0,0.8987794,0.88984305,0.8860885,0.8838075,0.8748206
A Separation,188.0,11.0,219.0,224.0,8.0,0.7943081,0.7869733,0.784961,0.7825344,0.78224397
Double Indemnity,154.0,76.0,166.0,79.0,78.0,0.8590463,0.85308665,0.8525078,0.8497735,0.8434788
The Wolf of Wall Street,171.0,14.0,179.0,82.0,178.0,0.87858903,0.86802006,0.8400228,0.83589137,0.83499074
Spider-Man: No Way Home,95.0,23.0,34.0,8.0,12.0,0.8975421,0.8917831,0.8865353,0.88159937,0.88159937
Jurassic Park,60.0,35.0,64.0,156.0,87.0,0.8628124,0.83165157,0.82709813,0.82370955,0.82229
Green Book,230.0,106.0,51.0,196.0,68.0,0.85302657,0.8512866,0.8490907,0.84644175,0.84214395
Taxi Driver,133.0,79.0,14.0,154.0,91.0,0.87265354,0.8553853,0.8546642,0.8522487,0.8520039
No Country for Old Men,19.0,55.0,79.0,166.0,218.0,0.8466482,0.83996487,0.83279294,0.8317957,0.83133125
1917,172.0,151.0,62.0,34.0,158.0,0.9056894,0.89773846,0.88339007,0.87802106,0.8774312
Shutter Island,32.0,49.0,105.0,65.0,142.0,0.84765214,0.83355975,0.8332428,0.82769924,0.8087211
There Will Be Blood,172.0,43.0,219.0,215.0,196.0,0.84659004,0.8440132,0.84213686,0.84141594,0.8391779
Indiana Jones and the Last Crusade,53.0,12.0,8.0,156.0,3.0,0.871268,0.8373131,0.8373131,0.83227277,0.83199966
The Sixth Sense,72.0,142.0,62.0,105.0,188.0,0.8925367,0.8853984,0.8679898,0.86120284,0.8431751
Snatch,193.0,82.0,21.0,179.0,134.0,0.8697282,0.8599209,0.85979795,0.84391165,0.8289203
Batman Begins,2.0,59.0,38.0,62.0,26.0,0.9831174,0.92386377,0.8912534,0.88974345,0.8783574
Kill Bill: Vol. 1,125.0,2.0,34.0,172.0,62.0,0.84358513,0.8421592,0.83871955,0.82556117,0.82550883
The Father,72.0,30.0,62.0,166.0,21.0,0.8561904,0.8547227,0.84779197,0.8469449,0.8377154
A Beautiful Mind,4.0,68.0,171.0,172.0,230.0,0.88669926,0.86854947,0.86518633,0.86309594,0.8628424
The Thing,105.0,149.0,87.0,35.0,62.0,0.8409214,0.83933085,0.83789545,0.8352101,0.8322202
Pan's Labyrinth,219.0,43.0,28.0,22.0,93.0,0.8607682,0.85566014,0.85518616,0.8521603,0.8469412
Howl's Moving Castle,70.0,25.0,193.0,212.0,28.0,0.83701545,0.82938194,0.82851607,0.824584,0.8099308
The Truman Show,190.0,226.0,34.0,72.0,51.0,0.84725124,0.83166564,0.82458204,0.818946,0.8172154
Casino,117.0,14.0,79.0,55.0,154.0,0.87265354,0.86681056,0.8478731,0.846272,0.843402
